data.username,data.name,data.description,data.id,data.verified,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,lastUpdate
NorwayMFA,Norway MFA,Norwegian Ministry of Foreign Affairs official Twitter profile in English. In Norwegian: @Utenriksdept. Our Ministers: @AHuitfeldt & @AnneBeathe_,966113328,TRUE,77207,1663,8157,953,2022-05-22T11:40:49.615711Z
FinGovernment,Finnish Government,"Latest from the Government and Ministries of Finland. By the Communications Department, Prime Minister’s Office. 

https://t.co/NvmQ5ojuyh…",292291704,TRUE,40412,142,13210,475,2022-05-22T11:40:49.615711Z
japan,japan,"This account has been managed by the Government of Japan @JapanGov since March 10, 2015.",869231,TRUE,316591,98,9317,1798,2022-05-22T11:40:49.615711Z
UN,United Nations,"Official account of the United Nations. 
For peace, dignity & equality on a healthy planet.",14159148,TRUE,15515410,1201,85113,44158,2022-05-22T11:40:49.615711Z
BBC,BBC,"Our mission is to enrich your life and to inform, educate and entertain you, wherever you are.",19701628,TRUE,2030128,271,36899,14080,2022-05-22T11:40:49.615711Z
BBCNews,BBC News (UK),"News, features and analysis. For world news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport. Our Instagram: BBCNews",612473,TRUE,13952653,93,492781,48811,2022-05-22T11:40:49.615711Z
BBCWorld,BBC News (World),"News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport",742143,TRUE,36707270,18,346380,131366,2022-05-22T11:40:49.615711Z
TelegraphNews,Telegraph Breaking News,The latest national and international news from the @Telegraph team.,14138785,TRUE,764556,246,211732,12151,2022-05-22T11:40:49.615711Z
Telegraph,The Telegraph,"Think ahead with the latest news, comment, analysis and video. 

Subscribe here: https://t.co/jRf9lAo5nY",16343974,TRUE,3239638,886,484162,20786,2022-05-22T11:40:49.615711Z
guardian,The Guardian,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq,87818409,TRUE,10496348,1060,748823,69224,2022-05-22T11:40:49.615711Z
guardiannews,Guardian news,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/KXycIPGfHd,788524,TRUE,3767030,1227,310076,35112,2022-05-22T11:40:49.615711Z
nytimes,The New York Times,News tips? Share them here: https://t.co/ghL9OoYKMM,807095,TRUE,53068706,877,472651,215502,2022-05-22T11:40:49.615711Z
nypost,New York Post,"Breaking news & features from The New York Post. Follow your favorite sections: @pagesix, @nypmetro, @nypostbiz, @nypostsports, @nypfashion, @nypostopinion",17469289,TRUE,2695212,10988,473305,20786,2022-05-22T11:40:49.615711Z
washingtonpost,The Washington Post,Democracy Dies in Darkness,2467791,TRUE,19211288,1714,427943,106656,2022-05-22T11:40:49.615711Z
cnnbrk,CNN Breaking News,"Breaking news from CNN Digital. Now 62M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/8bf79vV51N",428333,TRUE,63128849,121,77839,193141,2022-05-22T11:40:49.615711Z
CNN,CNN,"It’s our job to #GoThere & tell the most difficult stories. For breaking news, follow @CNNBRK and download our app https://t.co/ceNBoNi8y6",759251,TRUE,58266560,1104,374326,154605,2022-05-22T11:40:49.615711Z
